iteration,instances,attributes,runtime_total,runtime_max,elapsed,eden_count,eden_time,eden_peak,eden_used,old_count,old_time,old_peak,old_used,surv_peak,surv_used,thread_used,iter_mem
250,15120,55,8187281408,8187281408,260401,29,801,3033530368,2725863856,2,31,1019301768,1019301768,150994944,67108864,259.033641,25958456
500,15120,55,8187281408,8187281408,536493,59,1978,3069181952,2300606064,2,28,2777551248,2777551248,278921216,69206016,532.796741,26164552
750,15120,55,8187281408,8187281408,804674,88,3235,3074949120,470443768,2,28,4708358216,4708358216,283115520,67108864,799.226118,26173488
1000,15120,55,8187281408,8187281408,1040165,115,4089,3080192000,1972160472,3,383,5342094784,1182924864,281018368,65011712,1034.428258,26329440
1250,15120,55,8187281408,8187281408,1331232,143,4840,3079667712,802461144,3,658,5337474992,3107195984,283115520,67108864,1324.403527,25260584
1500,15120,55,8187281408,8187281408,1556481,170,5756,3080716288,3044090224,3,661,5336781856,4649623960,283115520,62914560,1548.953813,25484512
1750,15120,55,8187281408,8187281408,1879705,198,6715,3079667712,1826181536,4,1836,5363901584,2135175648,281018368,69206016,1867.850951,25298368
2000,15120,55,8187281408,8187281408,2132753,226,8092,3080716288,443584904,4,908,5363994504,2482902376,283115520,67108864,2119.373186,25245496
2250,15120,55,8187281408,8187281408,2390132,254,9256,3080716288,77616008,5,3383,5366448144,1375444984,281018368,60817408,2374.28946,25381072
2500,15120,55,8187281408,8187281408,2660455,281,9434,3079667712,1013422120,5,1885,5352638904,1519912032,283115520,67108864,2645.403552,25479400
2750,15120,55,8187281408,8187281408,2955310,308,11128,3081764864,2582919480,5,545,5335329336,1652658488,283115520,69206016,2938.035697,25211976
3000,15120,55,8187281408,8187281408,3179305,336,10971,3079667712,2481588640,6,6244,5358352144,3706882736,281018368,69206016,3159.081633,25377864
3250,15120,55,8187281408,8187281408,3481843,364,17190,3082289152,232847864,6,6063,5366497520,4068508048,283115520,58720256,3451.295058,25809704
3500,15120,55,8187281408,8187281408,3874026,391,16803,3081764864,2576499648,6,4121,5334900632,4342155712,283115520,60817408,3833.586979,25397624
4000,15120,55,268435456,4294967296,4536365,4843,50502,1783627776,24117248,2,18,2822158472,2719668368,145752064,9437184,4472.673501,24942824
3750,15120,55,268435456,4294967296,4299098,5380,48910,1670381568,105906176,2,21,2641874576,2545813648,137363456,9437184,4236.044687,24934864
4250,15120,55,268435456,4294967296,4917305,5491,57296,1894776832,50331648,2,21,2999116936,2885386888,152043520,11534336,4841.084318,25160928
4500,15120,55,268435456,4294967296,5241387,4940,55196,2004877312,65011712,2,22,3163529640,3060817824,160432128,12582912,5165.466854,25047040
4750,15120,55,268435456,4294967296,5542789,5372,58824,2177892352,54525952,2,22,3374634632,3207184520,175112192,9437184,5455.245123,25088464
5000,15120,55,268435456,4294967296,5785681,5334,60337,2294284288,7340032,2,22,3539690408,3378382752,183500800,12582912,5710.995904,25231288
5250,15120,55,268435456,4294967296,6140455,5551,66196,2362441728,92274688,2,21,3699104168,3562932128,188743680,11534336,6046.928491,25217416
5500,15120,55,268435456,4294967296,6589591,4999,65972,2501902336,2097152,2,22,3893758088,3718526592,199229440,12582912,6493.272192,25200312
5750,15120,55,268435456,4294967296,7052037,5860,73648,2571108352,61865984,3,6395,4294838192,3880097824,203423744,14680064,6938.458294,24590128
6000,15120,55,268435456,4294967296,7640108,10247,92950,2570059776,85983232,10,41398,4294914880,4030017208,200278016,13631488,7464.546383,25083744
6250,15120,55,268435456,4294967296,9739373,7561,85524,2564816896,54525952,15,79888,4294967112,4040316216,158334976,12582912,7324.474619,24719944
6250,15120,55,268435456,4294967296,7303168,9322,87612,2569011200,170917888,15,76386,4294966744,4024842848,161480704,15728640,7118.084098,24929648
6250,15120,55,268435456,4294967296,10974429,5939,84153,2571108352,156237824,14,84229,4294912072,4051211352,160432128,14680064,8009.063924,24733992
6250,15120,55,268435456,4294967296,7770503,6848,85872,2563768320,57671680,17,90662,4294967192,4026301640,160432128,12582912,7526.765919,24490224
6250,15120,55,268435456,4294967296,10451135,6067,83924,2573205504,80740352,13,73242,4294938000,4029853496,161480704,13631488,7535.674806,24602200
6250,15120,55,268435456,4294967296,8179962,7617,93595,2572156928,123731968,16,90183,4294905560,4038828712,160432128,14680064,7909.446082,24798408
6250,15120,55,268435456,4294967296,7666793,6098,84752,2572156928,16777216,14,80932,4294966992,4049504648,161480704,16777216,7447.037789,24686336
